e50d0c183689e4053ccb35f8b29d98c8	e50d0c183689e4053ccb35f8b29da3f1	76612bd9a41885add4f6b0b7683fc62a	858ed4564f11795ec13dda4c10a0d72a	858ed4564f11795ec13dda4c10a0e1f1	e50d0c183689e4053ccb35f8b29dac3b	e50d0c183689e4053ccb35f8b29db9d8	858ed4564f11795ec13dda4c10a0fe2d	76612bd9a41885add4f6b0b768400213	76612bd9a41885add4f6b0b768400cc4	76612bd9a41885add4f6b0b768400e2f	76612bd9a41885add4f6b0b768401727	858ed4564f11795ec13dda4c10a11c73	76612bd9a41885add4f6b0b768402828	88af6472fb03642dd5eaf8cddcc0d7ce	76612bd9a41885add4f6b0b7684037d2	88af6472fb03642dd5eaf8cddcbfaba0	858ed4564f11795ec13dda4c10a1a09d	858ed4564f11795ec13dda4c10a1c38e	858ed4564f11795ec13dda4c10a1d475
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__Megasphaera	0	6	1782	0	2	1	450	5251	1	636	0	25	699	8	3011	1483	0	51	1104	3180
Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;g__Sneathia	1	0	1811	0	6	1	1	2	0	6	0	1	4969	69	108	20	2	46	162	1
NA;NA;NA;NA;g__Leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Neisseriaceae;g__Neisseria	0	0	0	0	7	0	1	2	0	0	0	0	0	0	2	0	0	0	0	1
NA;NA;NA;NA;g__Aggregatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;g__Porphyromonas	0	0	0	0	20	3	0	0	0	1	0	1	0	0	5	1	0	0	1	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Actinomyces	0	0	0	0	0	1	0	0	0	1	0	0	6	0	3	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Oribacterium	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__Lautropia	0	0	0	0	0	1	0	0	0	1	0	2	0	0	2	0	0	1	0	0
NA;NA;NA;NA;g__[Prevotella]	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0
NA;NA;NA;NA;g__Moryella	0	0	0	0	4	0	0	0	1	9	0	0	0	0	0	0	0	0	1	0
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;g__Bifidobacterium	7	0	0	0	0	4	2	0	0	0	0	2	19	12	0	1	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Parvimonas	0	0	0	0	0	0	0	0	0	2	0	0	541	0	198	33	0	1	101	123
Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;g__Haemophilus	0	0	0	0	3	3	0	5	0	0	0	11	2	0	4	1	16	0	0	1
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Anaerococcus	1	1	2	0	3691	16	0	0	6	10	0	38	0	2	2	1	15	0	0	14
Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;g__Collinsella	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;g__[Ruminococcus]	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Blautia	12	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1
NA;NA;NA;NA;g__Oscillospira	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
