MOB.021.Rec.R1.fastq	MOB.022.Rec.R1.fastq	MOB.029.Rec.R1.fastq	MOB.037.Rec.R1.fastq	MOB.055.Rec.R1.fastq	MOB.103.Rec.R1.fastq	MOB.175.Rec.R1.fastq	MOB.195.Rec.R1.fastq	MOB.280.Rec.R1.fastq	MOB.281.Rec.R1.fastq
Proteobacteria;Alphaproteobacteria;Rhizobiales;f__Beijerinckiaceae	0	0	0	0	0	0	0	0	0	42
Deinococcota;Deinococci;Deinococcales;f__Thermaceae	0	0	0	0	0	0	10	0	0	14
Firmicutes;Bacilli;Bacillales;f__Marinococcaceae	0	0	0	0	0	0	7	0	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;f__Weeksellaceae	0	0	0	0	0	0	0	0	0	56
Firmicutes;Alicyclobacillia;Alicyclobacillales;f__Alicyclobacillaceae	0	0	0	0	0	0	7	0	0	0
Firmicutes_A;Clostridia;Christensenellales;f__CAG-138	22	0	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Coprobacteraceae	0	0	0	0	0	0	7	0	0	15
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Rhodocyclaceae	0	0	0	0	0	0	11	0	0	0
Firmicutes;Bacilli;Staphylococcales;f__Salinicoccaceae	0	0	0	0	0	0	0	0	0	12
Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;f__Akkermansiaceae	0	0	0	0	3	0	15	0	0	15
Firmicutes_A;Clostridia;Saccharofermentanales;f__Mageeibacillaceae	0	0	0	0	195	336	0	0	0	0
Firmicutes;Bacilli;Mycoplasmatales;f__Ureaplasmataceae	0	0	0	42	86	0	40	1	14	0
Firmicutes;Bacilli;Mycoplasmatales;f__Mycoplasmataceae_B	0	0	0	0	106	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Ruminococcus_B	177	0	0	0	3	0	110	2	0	5
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;g__Streptococcus	233	1	257	199	24	11	51	130	57112	78
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Murdochiella	10	0	0	0	0	0	8	9	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-45	0	0	0	0	0	0	9	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Finegoldia	10638	0	488	1444	532	58	847	13876	3	1468
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Dorea	425	0	0	1	1	0	139	2	0	31
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruminiclostridium_E	32	0	0	0	0	0	11	0	0	14
Firmicutes_A;Clostridia;TANB77;CAG-508;g__CAG-354	123	0	0	0	0	0	16	0	0	0
Firmicutes_A;Clostridia;CAG-41;UBA1381;g__CAG-41	24	0	0	0	0	0	12	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;g__Parabacteroides	2	0	0	0	0	0	11	0	0	9
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruminococcus_C	668	0	0	0	0	0	27	0	0	3
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;g__Clostridium_P	33	0	0	0	2	0	23	0	0	55
Firmicutes;Bacilli;Bacillales;Bacillaceae_G;g__Bacillus_A	0	0	0	0	0	0	20	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__992a	40	0	0	0	0	0	41	0	0	23
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CHKCI001	116	0	0	0	2	0	31	0	0	49
Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;g__Sneathia	0	0	0	0	4058	4159	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Microbacteriaceae;g__Cryobacterium	0	0	0	0	0	0	0	67	0	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;g__Oscillibacter	85	0	0	0	0	0	52	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Coprococcus	41	0	0	0	0	0	17	0	0	42
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Varibaculum	175	0	0	0	26	0	69	62	1	42
Actinobacteriota;Actinobacteria;Actinomycetales;Brevibacteriaceae;g__Brevibacterium	1	0	0	0	0	0	69	0	0	589
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;g__Porphyromonas	1569	0	0	0	0	0	77	258	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Urinacoccus	222	0	0	0	0	3	36	1158	0	41
Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;g__Staphylococcus	86	11671	4	11	135	5	1914	182	89	531
Firmicutes;Bacilli_A;Paenibacillales;Paenibacillaceae;g__Paenibacillus_G	0	0	0	0	0	0	0	0	0	5
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Faecalibacterium	2047	0	0	1	15	2	454	18	0	141
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Prevotella	8689	0	2973	6702	1484	5533	335	1087	0	253
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;g__Lactobacillus	11100	5569	76330	51240	3043	3303	25557	6566	1606	8741
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Fusicatenibacter	469	0	0	0	1	0	133	0	0	41
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus_A	12474	0	68	1275	267	24	856	5643	3	907
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Anaerococcus	6350	0	0	2595	382	271	1779	8611	2	1377
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;g__Corynebacterium	793	0	32	39	2182	16	6944	22684	15	21087
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;g__Parasutterella	0	0	0	0	0	0	0	0	0	7
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Neofamilia	0	0	0	0	0	0	48	2295	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;g__Collinsella	152	0	0	0	0	0	198	0	0	20
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus_C	5496	0	0	0	43	1	67	1745	0	24
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Prevotellamassilia	0	0	0	0	0	0	16	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__UBA1382	12	0	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;g__Brachybacterium	0	0	0	0	0	0	11	0	0	74
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Lagierella	121	0	0	0	0	0	111	12	0	0
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;g__Megasphaera	13	0	0	0	0	0	8	4	0	4
Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;g__Fusobacterium_A	0	0	0	0	0	0	15	0	0	3
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;g__Sphingobium	0	0	0	0	0	0	0	0	0	10
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;g__Campylobacter_B	898	0	0	0	0	1	2930	2	0	43
Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;g__Escherichia	0	4737	0	0	1	0	26	1	0	22
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Eubacterium_E	68	0	0	0	0	0	76	0	0	20
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;g__Lactobacillus_B	4	0	0	0	0	0	0	2	8	0
Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;g__Allobaculum	0	0	0	0	0	0	14	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;g__Haemophilus_D	0	0	0	0	4	0	5	0	0	7
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;g__Acinetobacter	0	0	0	0	0	4	15	0	0	389
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;g__Atopobium_B	65	0	509	640	0	0	0	66	0	0
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;g__Pyramidobacter	0	0	0	0	0	0	7	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;DTU089;g__Eubacterium_R	22	0	0	0	0	0	13	0	0	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;g__Fusobacterium	168	0	0	0	0	0	15	0	0	3
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;g__Clostridium	416	0	0	0	3	0	309	17	0	84
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Blautia_A	1079	0	0	0	14	0	708	3	0	133
Firmicutes_A;Clostridia;Lachnospirales;Anaerotignaceae;g__Anaerotignum	6	0	0	0	0	0	14	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;g__Aerococcus	0	0	0	0	1084	110	33	0	0	58
Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;g__Megamonas	0	0	0	0	0	0	8	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;g__Actinomyces_B	30	0	0	0	0	0	19	197	0	6
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;g__Bacteroides	68	0	0	0	13	0	129	0	0	53
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Parvimonas	0	0	0	0	485	627	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__GCA-900066135	53	0	0	0	0	0	2	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Roseburia	195	0	0	0	10	0	114	0	0	25
Proteobacteria;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;g__Succinivibrio	0	0	0	0	0	0	33	0	0	17
Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;g__Aquamicrobium	0	0	0	1	7	0	10	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;g__Peptoniphilus	18432	0	68	1275	310	27	1043	7548	3	946
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;g__Mogibacterium	777	0	0	0	0	0	27	1	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;g__Bifidobacterium	3768	0	13599	199	25380	24038	533	70	0	165
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;g__DNF00809	0	0	0	0	358	219	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-81	24	0	0	0	0	0	3	0	0	0
Firmicutes_A;Clostridia;Eubacteriales;Eubacteriaceae;g__Eubacterium_O	0	0	0	0	0	0	690	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Geodermatophilaceae;g__Blastococcus	0	112	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;g__Emergencia	1	0	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;g__Paracoccus	0	0	0	0	0	0	10	0	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;g__Romboutsia	51	0	0	0	0	0	128	4	0	20
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;g__UBA2883	39	0	0	0	0	0	0	0	0	0
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;g__Catenibacterium	402	0	0	0	0	0	0	3	0	27
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;g__Jonquetella	16	0	0	0	0	0	382	0	0	0
