MOB.021.Vag.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Vag.R1.fastq
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;s__Hungatella_hathewayi_A(RS_GCF_001405675.1)	95	0	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__Prevotella_buccalis_A(RS_GCF_000177075.1)	173	1622	0	0	95	562	7	427	2	58
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;s__Porphyromonas_somerae(RS_GCF_001815465.1)	80	3	0	0	41	70	0	0	1	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruthenibacterium;s__Ruthenibacterium_lactatiformans(RS_GCF_000949455.1)	1	4	0	21	0	0	0	1	0	8
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;s__Bifidobacterium_adolescentis_A(RS_GCF_000737885.1)	784	325	0	12178	584	0	184	798	17	17
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;s__(RS_GCF_900120295.1)	0	0	0	754	9	0	0	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__(RS_GCF_001767255.1)	15	319	2	0	0	53	0	296	4	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sutterella;s__Sutterella_sp3(RS_GCF_001578585.1)	0	26	2	573	0	0	0	35	49	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_eggerthii(RS_GCF_000273465.1)	158	0	0	2235	0	1	0	25	0	6
Bacteroidota;Bacteroidia;Bacteroidales;UBA932;RC9;s__(GB_GCA_000435075.1)	0	66	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Bittarella;s__(GB_GCA_900066655.1)	958	0	0	18429	0	81	0	597	155	17
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;s__Roseburia_intestinalis(GB_GCA_000210655.1)	0	0	0	7328	0	11	0	0	0	0
Firmicutes_A;Clostridia;4C28d-15;UBA1242;UBA4626;s__(GB_GCA_002406115.1)	0	11	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;s__Sphingomonas_adhaesiva(RS_GCF_002374855.1)	0	0	0	0	0	0	3	0	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_atypicum(RS_GCF_000732945.1)	0	0	0	0	471	0	0	0	0	319
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;Dermabacter;s__Dermabacter_hominis(RS_GCF_001570785.1)	0	0	0	0	0	1	56	22	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;s__Bacteroides_rodentium(GB_GCA_000614125.1)	260	5	0	932	0	26	0	167	29	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;s__Lawsonella_clevelandensis(RS_GCF_001293125.1)	0	59	2	0	138	160	148	70	0	293
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;Anaeroglobus;s__(RS_GCF_000478965.1)	32	0	0	0	0	19	0	0	0	6
Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Allisonella;s__Allisonella_histaminiformans(RS_GCF_900103425.1)	0	103	0	27	0	10	0	20	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Urmitella;s__Urmitella_timonensis(RS_GCF_900120415.1)	0	471	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;s__(RS_GCF_002157735.1)	0	0	0	0	0	0	0	0	0	4
Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;F0058;s__(RS_GCF_000163695.1)	0	0	0	3	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;s__(GB_GCA_000980705.1)	0	0	0	0	26	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Anaerococcus;s__(RS_GCF_900128425.1)	0	0	0	0	0	3	12	0	0	0
Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter_B;s__Campylobacter_B_ureolyticus(RS_GCF_001190755.1)	28	457	0	1	61	55	0	109	1	121
Actinobacteriota;Actinobacteria;Actinomycetales;Dermabacteraceae;Dermabacter;s__Dermabacter_hominis(RS_GCF_001807345.1)	0	0	0	0	83	0	83	0	0	0
Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Mitsuokella;s__Mitsuokella_jalaludinii(RS_GCF_001404615.1)	0	209	0	0	0	0	20	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Dakarella;s__Dakarella_massiliensis(RS_GCF_001182045.1)	4	0	0	0	0	0	0	0	0	18
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Aquaspirillaceae;Microvirgula;s__Microvirgula_aerodenitrificans(RS_GCF_000620105.1)	0	0	0	2	0	0	0	0	0	0
Firmicutes_A;Clostridia;Christensenellales;CAG-138;PeH17;s__PeH17_sp1(GB_GCA_000435055.1)	4	14	0	0	0	0	0	28	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;s__Ruminococcus_B_lactaris(RS_GCF_000507785.1)	12	170	0	1918	0	3	0	3	1	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides_B;s__Bacteroides_B_massiliensis(RS_GCF_000382445.1)	31	0	0	6285	0	18	0	15	183	0
Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter_A;s__Methanobrevibacter_A_smithii_A(RS_GCF_002252585.1)	17	59	0	0	7	23	16	10	0	103
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__Corynebacterium_glucuronolyticum(RS_GCF_000159595.1)	0	0	0	0	0	0	1186	71	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter;s__Empedobacter_falsenii(GB_GCA_002333005.1)	0	0	0	0	0	0	0	0	0	14
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_A;s__Eubacterium_A_nodatum(RS_GCF_000510425.1)	0	0	0	0	0	0	0	0	0	22
Actinobacteriota;Actinobacteria;Actinomycetales;Bifidobacteriaceae;Alloscardovia;s__Alloscardovia_macacae_A(RS_GCF_002259705.1)	254	0	15	1	0	0	0	0	1	0
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;Ezakiella;s__(RS_GCF_000758845.1)	757	527	0	0	360	987	16	68	23	372
Firmicutes_A;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Terrisporobacter;s__Terrisporobacter_glycolicus(RS_GCF_000373865.1)	4095	0	3	0	1122	678	0	0	1707	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Massilia;s__Massilia_sp3(RS_GCF_001426525.1)	0	0	0	0	4	0	12	0	0	0
Firmicutes_C;Negativicutes;Veillonellales;Megasphaeraceae;28L;s__28L_sp1(RS_GCF_000177555.1)	0	0	0	0	0	348	83	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium_A;s__Arcanobacterium_A_urinimassiliense(RS_GCF_900119495.1)	0	0	0	0	0	2	0	3	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Levyella;s__Levyella_massiliensis(RS_GCF_000308275.2)	0	0	0	0	370	389	10	2	9	40
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;s__Oscillibacter_sp6(GB_GCA_900066625.1)	2	0	0	70	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;s__Rothia_mucilaginosa(GB_GCA_002861015.1)	0	0	0	96	0	0	0	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Oscillospiraceae;Flavonifractor;s__(RS_GCF_002159265.1)	2	17	0	0	0	0	0	38	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__(RS_GCF_000758925.1)	0	491	0	0	79	42	0	1	0	34
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;s__(RS_GCF_002251385.1)	0	32	0	0	0	0	0	144	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_B;s__Eubacterium_B_sulci(RS_GCF_000526055.1)	0	0	0	0	0	0	0	0	0	21
Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Tidjanibacter;s__Tidjanibacter_massiliensis(RS_GCF_900104605.1)	0	0	0	106	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;s__(GB_GCA_002455875.1)	0	0	0	0	0	0	23	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;s__Porphyromonas_asaccharolytica(RS_GCF_000212375.1)	86	115	0	0	0	135	0	223	0	90
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium_D;s__Chryseobacterium_D_taklimakanense(RS_GCF_900187185.1)	0	0	0	2	245	0	3	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Libanicoccus;s__Libanicoccus_massiliensis(RS_GCF_900143685.1)	0	50	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Sutterella;s__Sutterella_wadsworthensis(GB_GCA_000980335.1)	222	2	0	1294	0	0	0	64	6	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;s__(GB_GCA_900066505.1)	4	15	0	170	0	0	0	317	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira;s__Lachnospira_eligens_A(RS_GCF_000146185.1)	10	61	0	1490	94	59	0	225	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Ndongobacter;s__Ndongobacter_massiliensis(RS_GCF_900120375.1)	0	0	0	0	0	22	0	5	0	102
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Ruminococcus_B;s__Ruminococcus_B_glycyrrhizinilyticum(RS_GCF_000218385.1)	0	31	0	34	36	0	0	1	0	0
Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;s__(RS_GCF_001875725.1)	0	437	0	0	0	0	0	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;s__Rothia_mucilaginosa_A(RS_GCF_001809565.1)	0	0	0	43	0	0	0	0	0	0
Firmicutes_A;Clostridia;Tissierellales;Ezakiellaceae;Ezakiella;s__Ezakiella_massiliensis(RS_GCF_900120165.1)	0	0	0	0	0	30	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides_A;s__(RS_GCF_001704385.2)	0	0	0	49	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;CAG-521;s__(GB_GCA_000437635.1)	0	0	0	98	0	0	0	0	0	0
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;Proteiniclasticum;s__Proteiniclasticum_ruminis(RS_GCF_900099635.1)	0	0	0	0	0	0	5	0	0	0
Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces_B;s__Actinomyces_B_turicensis_A(RS_GCF_002847545.1)	76	5	0	0	0	0	0	0	6	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;s__Agathobacter_rectalis(RS_GCF_001404855.1)	0	0	0	0	0	0	0	220	0	0
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;UBA1191;s__(GB_GCA_900066305.1)	2	27	0	23	0	12	0	29	0	10
Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_A;s__Pseudomonas_A_stutzeri_Z(GB_GCA_002376625.1)	0	0	0	0	0	0	102	0	0	0
Firmicutes_A;Clostridia;Saccharofermentanales;Mageeibacillaceae;Mageeibacillus;s__Mageeibacillus_indolicus(RS_GCF_000025225.2)	0	0	0	0	0	21	7	0	0	0
Cyanobacteriota;Vampirovibrionia;Gastranaerophilales;Gastranaerophilaceae;CAG-306;s__CAG-306_sp1(GB_GCA_000980455.1)	0	0	0	55	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;s__Aerococcus_christensenii(RS_GCF_001543105.1)	0	0	0	0	0	10	140	0	0	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;s__Ruminococcus_flavefaciens_Q(RS_GCF_900119075.1)	17	24	0	0	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Paraprevotella;s__Paraprevotella_xylaniphila(RS_GCF_000205165.1)	21	0	0	0	0	0	0	72	0	0
Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Jonquetella;s__Jonquetella_anthropi(RS_GCF_000237805.1)	0	0	0	0	0	0	0	0	0	1666
Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;s__Olsenella_urininfantis(RS_GCF_900155635.1)	7	7	0	3	0	0	0	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;TF01-11;s__(RS_GCF_001414325.1)	0	0	0	1203	0	0	0	0	0	0
Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;s__Aerococcus_urinaehominis(RS_GCF_001543245.1)	0	0	0	0	5	0	0	6	0	0
Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae_B;Mycoplasma_D;s__Mycoplasma_D_hominis(RS_GCF_000935875.1)	0	0	0	0	0	0	53	0	0	0
Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium_A;s__Fusobacterium_A_mortiferum(RS_GCF_000158195.2)	0	0	0	0	0	0	63	0	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Vaginella;s__Vaginella_massiliensis(RS_GCF_900089075.1)	0	0	0	0	129	1	0	11	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Coprobacteraceae;Coprobacter;s__Coprobacter_fastidiosus(RS_GCF_000473955.1)	0	0	0	8	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;s__Phocaeicola_abscessus(RS_GCF_000312445.1)	0	0	0	0	0	0	0	0	0	95
Firmicutes_A;Clostridia;Peptostreptococcales;Anaerovoracaceae;Eubacterium_A;s__Eubacterium_A_pyruvativorans(RS_GCF_900116785.1)	0	0	0	0	0	2	0	0	0	21
Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelatoclostridium;s__Erysipelatoclostridium_spiroforme(RS_GCF_002159775.1)	0	0	0	529	0	0	0	0	0	0
Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;s__Slackia_exigua(RS_GCF_000293015.1)	6	0	0	0	10	5	0	6	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;Helcococcus;s__Helcococcus_kunzii(RS_GCF_000245755.1)	0	0	0	0	52	0	0	0	0	0
