MOB.021.Vag.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Vag.R1.fastq
Euryarchaeota;Methanobacteria;Methanobacteriales;f__Methanobacteriaceae	41	59	0	0	7	43	16	10	0	103
Firmicutes;Bacilli;Haloplasmatales;f__Turicibacteraceae	0	23	0	3861	73	1	0	76	0	0
Proteobacteria;Alphaproteobacteria;RF32;f__CAG-239	0	0	0	58	0	0	0	14	0	0
Proteobacteria;Alphaproteobacteria;Rhizobiales;f__Xanthobacteraceae	0	0	0	0	0	0	0	0	0	10
Bacteroidota;Bacteroidia;Bacteroidales;f__Marinifilaceae	10	1	0	132	0	2	0	49	0	0
Proteobacteria;Alphaproteobacteria;Acetobacterales;f__Acetobacteraceae	0	0	0	0	0	0	3	0	0	0
Firmicutes_A;Clostridia;Acetivibrionales;f__Acetivibrionaceae	0	0	0	0	0	0	0	20	0	0
Firmicutes_C;Negativicutes;Veillonellales;f__Veillonellaceae	0	93	0	386	137	3	2	12	4	5
Firmicutes;Bacilli;Staphylococcales;f__Gemellaceae	0	2	0	40	0	0	0	0	0	9
Deferribacterota;Deferribacteres;Deferribacterales;f__Mucispirillaceae	0	0	0	6	0	0	0	0	0	0
Elusimicrobiota;Elusimicrobia;Elusimicrobiales;f__Elusimicrobiaceae	0	3	0	0	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Pseudomonadales;f__Pseudomonadaceae	0	0	0	2	0	0	222	0	0	7
Firmicutes_A;Clostridia;Saccharofermentanales;f__KA00274	0	0	0	0	0	141	177	0	0	0
Firmicutes;Bacilli;Bacillales;f__Bacillaceae	0	0	0	0	0	0	0	0	0	5
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Aeromonadaceae	0	0	0	69	0	0	0	0	0	36
Bacteroidota;Bacteroidia;Bacteroidales;f__UBA932	0	66	0	0	0	0	0	0	0	0
Firmicutes_A;Clostridia;4C28d-15;f__UBA1242	0	11	0	0	0	0	0	0	0	0
Proteobacteria;Alphaproteobacteria;Azospirillales;f__Azospirillaceae	0	0	0	2	0	0	0	0	0	0
Bacteroidota;Bacteroidia;Flavobacteriales;f__Weeksellaceae	0	0	0	2	374	1	15	11	0	32
Proteobacteria;Gammaproteobacteria;Enterobacterales;f__Vibrionaceae	0	0	0	0	0	0	0	0	0	4
Bacteroidota;Bacteroidia;Bacteroidales;f__Paludibacteraceae	0	0	0	3	0	0	0	0	0	0
Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;f__Aquaspirillaceae	0	0	0	2	0	0	0	0	0	0
Firmicutes_A;Clostridia;Christensenellales;f__CAG-138	4	14	0	0	0	0	0	28	0	0
Bacteroidota;Bacteroidia;Bacteroidales;f__Coprobacteraceae	0	0	0	2036	0	0	0	0	0	0
Bdellovibrionota;Bacteriovoracia;Bacteriovoracales;f__Bacteriovoracaceae	0	0	0	0	8	0	0	0	0	0
Firmicutes_A;Clostridia;Christensenellales;f__Christensenellaceae	0	0	0	0	0	0	0	0	0	8
Bacteroidota;Bacteroidia;Sphingobacteriales;f__Sphingobacteriaceae	0	0	0	0	0	0	23	0	0	0
Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;f__Akkermansiaceae	118	0	0	1498	0	7	0	96	2	0
Firmicutes_A;Clostridia;Saccharofermentanales;f__Mageeibacillaceae	0	0	0	0	0	21	7	0	0	0
Firmicutes;Bacilli;Mycoplasmatales;f__Ureaplasmataceae	0	0	0	0	0	0	14	0	0	88
Firmicutes;Bacilli;Mycoplasmatales;f__Mycoplasmataceae_B	0	0	0	0	0	0	53	0	0	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Ruminococcus_B	122	1554	0	7532	396	757	3	766	1	5
Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;g__Streptococcus	689	99	13262	7362	103	55	732	11	38173	93
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Murdochiella	173	617	0	0	39	62	0	846	9	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CAG-45	0	21	0	689	0	13	2	817	0	0
Firmicutes_A;Clostridia;Tissierellales;Helcococcaceae;g__Finegoldia	646	7359	24	15	6008	20565	20483	4351	680	1024
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__Dorea	354	1715	0	7994	150	691	41	890	12	6
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruminiclostridium_E	0	17	0	495	0	215	0	42	0	0
Firmicutes_A;Clostridia;TANB77;CAG-508;g__CAG-354	55	72	0	810	10	40	0	94	1	0
Firmicutes_A;Clostridia;CAG-41;UBA1381;g__CAG-41	12	7	0	2175	0	12	0	53	0	0
Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;g__Parabacteroides	0	8	0	952	0	9	0	63	12	0
Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;g__Ruminococcus_C	27	408	0	8550	32	97	1	138	0	0
Firmicutes_A;Clostridia;Clostridiales;Clostridiaceae;g__Clostridium_P	0	623	0	10429	131	2	0	83	3	0
Firmicutes;Bacilli;Bacillales;Bacillaceae_G;g__Bacillus_A	0	0	0	0	0	0	0	0	0	5
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__992a	96	18	0	9083	8	73	2	167	21	0
Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;g__CHKCI001	64	91	0	4731	54	143	0	28	7	4
